sensorID,latitude,longitude,altitude
ff-01,52.37310911,-3.77132837,624.9925
ff-02,52.37305067,-3.77158385,621.7471
ff-03,52.37291302,-3.77163792,620.3873
ff-04,52.37280727,-3.77143481,622.4964
ff-05,52.37254022,-3.77146132,618.0672
ff-06,52.37237345,-3.77135361,617.8161
ff-07,52.37236729,-3.77111911,620.8198
ff-08,52.37253969,-3.77111631,623.4604
ff-09,52.37246872,-3.77078707,624.4214
ff-10,52.37257517,-3.77061194,626.2245
ff-11,52.37249886,-3.77058685,625.203
ff-12,52.37243069,-3.77047594,624.2952
ff-13,52.36655146,-3.77836927,468.3
ff-14,52.36648135,-3.77850402,468.015
ff-15,52.36643078,-3.77861548,467.86
ff-16,52.36642796,-3.7780645,468
ff-17,52.36628466,-3.7781573,466.35
ff-18,52.36620067,-3.77749959,466.75
ff-19,52.36600646,-3.77749972,463.73
ff-20,52.36588266,-3.77773238,461.71
